course_name,course_code,course_semester,course_attribute,course_weight,course_score,course_gpa,pass
大学生创新创业教育,03CX01,4,必修,1,A,4,passed
习近平新时代中国特色社会主义思想概论,229108,1,必修,3,82,3.3,passed
毛泽东思想和中国特色社会主义理论体系概论,229109,3,必修,3,B+,3.3,passed
马克思主义基本原理,229202,3,必修,3,89,3.7,passed
思想道德与法治,229302,1,必修,3,87,3.7,passed
中国近现代史纲要,229501,2,必修,3,B-,2.7,passed
形势与政策1,229601,1,必修,0.25,A,4,passed
形势与政策2,229602,2,必修,0.25,A,4,passed
形势与政策3,229603,3,必修,0.25,A,4,passed
形势与政策4,229604,4,必修,0.25,A,4,passed
形势与政策5,229605,5,必修,0.25,A,4,passed
形势与政策6,229606,6,必修,0.25,A,4,passed
形势与政策7,229607,7,必修,0.25,--,--,failed
形势与政策8,229608,8,必修,0.25,--,--,failed
劳动教育1,229609,1,必修,0.25,A,4,passed
劳动教育2,229610,2,必修,0.25,A,4,passed
劳动教育3,229611,3,必修,0.25,A,4,passed
劳动教育4,229612,4,必修,0.25,A,4,passed
大学生职业生涯规划,310110,1,必修,0.5,A,4,passed
大学生就业指导,310111,6,必修,0.5,A,4,passed
大学生心理健康,310112,2,必修,2,A,4,passed
军事理论,310113,1,必修,2,--,--,failed
改革开放史,229504,"2,3",选修,1,C+,2.3,passed
大学英语综合（一）,180201,1,必修,2,74,2.3,passed
大学英语综合（二）,180202,2,必修,2,84,3.3,passed
大学英语听说（一）,180203,1,必修,2,97,4,passed
大学英语听说（二）,180204,2,必修,2,90,4,passed
英汉翻译理论与实践,180309,3,选修,2,A,4,passed
计算机信息技术,030562,1,必修,2,A-,3.7,passed
经管类专业导论,03D002,1,必修,1,A,4,passed
体育（一）,238001,1,必修,0.75,A-,3.7,passed
体育（二）,238002,2,必修,0.75,A,4,passed
体育（三）,238003,3,必修,0.75,B+,3.3,passed
体育（四）,238004,4,必修,0.75,B,3,passed
体质健康（一）,238101,5,必修,0.5,--,--,failed
体质健康（二）,238102,7,必修,0.5,--,--,failed
安全教育网络课程,31Z017,--,选修,2,A,4,passed
英语口笔译,MCR004,--,选修,2,A-,3.7,passed
欧美电影文化,MCY007,--,选修,2,A,4,passed
管理学,030101,"1,2",必修,2,B,3,passed
微观经济学,030207,"2,3",必修,3,72,2.3,passed
宏观经济学,030209,"2,3",必修,3,79,3,passed
会计学,030269,"2,3",必修,2,70,2,passed
高等数学C（上）,210195,1,必修,4,88,3.7,passed
高等数学C（下）,210196,2,必修,4,78,3,passed
线性代数,219161,2,必修,2,A,4,passed
概率论与数理统计,219163,3,必修,3,A,4,passed
管理信息系统,030534,"3,4",选修,2,B+,3.3,passed
统计学,030205,"3,4",选修,3,88,3.7,passed
经济法,030114,"3,4",选修,2,A-,3.7,passed
金融学,030358,4,选修,2,87,3.7,passed
Python语言基础,030700,"3,4",选修,2,A,4,passed
大数据导论,031599,"3,4",选修,2,B,3,passed
财政学,033293,4,选修,2,75,2.7,passed
运筹学（一）,033914,"3,4",选修,3,74,2.3,passed
政治经济学,220206,1,选修,2,B,3,passed
大学语文,220502,"1,2",选修,2,C-,1.5,passed
普通逻辑,220552,4,选修,2,B+,3.3,passed
信息检索,260110,"3,4",选修,1,B+,3.3,passed
公司金融,030018,5,必修,2,83,3.3,passed
金融风险管理,030019,6,必修,3,91,4,passed
证券投资学,030211,5,必修,3,71,2.3,passed
国际金融,030213,5,必修,3,83,3.3,passed
计量经济学,030257,5,必修,3,72,2.3,passed
保险学,031215,5,必修,2,A,4,passed
商业银行经营管理（全英语）,034444,6,必修,2,A-,3.7,passed
期货与期权（全英语）,030020,6,选修,2,A,4,passed
投资银行理论与实务,030239,7,选修,2,--,--,failed
金融市场学,030245,6,选修,2,B-,2.7,passed
证券投资分析,033215,7,选修,2,--,--,failed
固定收益证券,033225,7,选修,2,--,--,failed
金融综合模拟实习,033206,6,必修,1,--,--,failed
证券投资综合实习,033229,5,必修,1,A,4,passed
商业银行综合业务模拟实习,033230,6,必修,1,--,--,failed
会计信息系统实习,033261,7,必修,1,--,--,failed
企业财务综合决策模拟实习,033262,4,必修,1,B+,3.3,passed
计算金融实习,034445,7,必修,1,--,--,failed
工程基础训练E,249316,2,必修,2,B+,3.3,passed
军训,310114,2,必修,2,A,4,passed
合作教育（一）,039006,2,必修,2,A,4,passed
合作教育（二）,039007,4,必修,2,A,4,passed
毕业设计（论文）,034446,8,必修,12,--,--,failed
合作教育（三）,039008,6,必修,2,--,--,failed
